,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
160,kijang,73,KR,1579479638,69,35.6,35.24,129.21,1.12
161,torbay,90,CA,1579479638,92,25.0,47.67,-52.73,16.11
162,san patricio,40,MX,1579479638,70,86.0,19.22,-104.7,11.41
163,ahipara,5,NZ,1579479639,85,67.23,-35.17,173.17,14.54
164,prachuap khiri khan,24,TH,1579479639,87,77.2,11.82,99.78,4.12
165,shepsi,0,RU,1579479639,62,43.83,44.04,39.15,8.01
166,pokosnoye,95,RU,1579479639,87,1.09,55.53,101.05,6.73
167,xuddur,39,SO,1579479639,75,70.18,4.12,43.89,13.73
168,cabedelo,95,BR,1579479639,78,78.8,-6.98,-34.83,9.17
169,saldanha,93,ZA,1579479639,68,68.0,-33.01,17.94,8.05
170,elko,1,US,1579479600,47,37.4,41.0,-115.5,9.17
171,anadyr,99,RU,1579479639,75,-16.01,64.75,177.48,6.71
172,husavik,90,IS,1579479639,69,39.2,66.04,-17.34,36.91
173,luderitz,0,NA,1579479639,88,62.6,-26.65,15.16,8.05
174,hithadhoo,100,MV,1579479639,74,83.05,-0.6,73.08,9.4
175,talen,0,IN,1579479639,63,49.51,23.57,76.72,5.14
176,houma,1,US,1579479607,39,54.0,29.6,-90.72,11.41
177,barrow,90,US,1579479525,84,3.2,71.29,-156.79,9.17
178,phan thiet,0,VN,1579479640,76,67.87,10.93,108.1,2.39
179,gawler,75,AU,1579479640,93,64.99,-34.6,138.73,17.22
180,kohima,15,IN,1579479640,95,43.61,25.67,94.12,0.58
181,kenai,1,US,1579479640,65,6.01,60.55,-151.26,4.7
182,honningsvag,90,NO,1579479640,96,32.0,70.98,25.97,23.04
183,kananga,100,CD,1579479640,86,67.87,-5.9,22.42,1.39
184,cidreira,19,BR,1579479640,81,74.97,-30.18,-50.21,28.27
185,vilhena,57,BR,1579479640,94,73.4,-12.74,-60.15,6.93
186,columbus,90,US,1579479625,85,16.0,39.96,-83.0,9.17
187,anjiang,100,CN,1579479640,82,42.73,27.32,110.1,2.21
188,dillon,1,US,1579479640,57,53.6,34.42,-79.37,5.82
189,pa sang,24,TH,1579479640,87,69.8,18.53,98.94,0.45
190,namibe,29,AO,1579479641,86,74.66,-15.2,12.15,8.28
191,peabiru,47,BR,1579479641,69,80.01,-23.91,-52.34,2.24
192,galle,84,LK,1579479641,84,79.45,6.04,80.22,11.77
193,elat,0,IL,1579479641,58,53.6,29.56,34.95,5.32
194,gravdal,100,NO,1579479641,93,40.89,68.12,13.5,46.48
195,ribeira grande,100,PT,1579479641,83,59.11,38.52,-28.7,15.55
196,klaksvik,100,FO,1579479641,93,48.2,62.23,-6.59,8.05
197,east london,100,ZA,1579479641,74,67.03,-33.02,27.91,18.32
198,agadez,0,NE,1579479641,37,52.27,19.75,10.25,3.36
199,saint-francois,1,FR,1579479641,86,36.0,46.42,3.91,6.93
200,port-gentil,2,GA,1579479641,74,81.93,-0.72,8.78,5.61
201,calamar,29,CO,1579479641,74,80.6,10.25,-74.91,6.93
202,foumban,96,CM,1579479641,51,68.0,5.73,10.9,4.68
203,airai,3,TL,1579479642,57,75.88,-8.93,125.41,2.82
204,sambava,100,MG,1579479642,98,73.74,-14.27,50.17,1.57
205,nelson bay,61,AU,1579479420,66,90.0,-32.72,152.15,8.05
206,kirakira,29,SB,1579479642,68,83.16,-10.45,161.92,5.68
207,bonthe,57,SL,1579479642,84,77.85,7.53,-12.51,6.85
208,garissa,19,KE,1579479642,78,76.35,-0.45,39.64,9.19
209,severodvinsk,90,RU,1579479642,92,6.8,64.56,39.83,6.71
210,huadian,100,CN,1579479642,95,8.89,42.96,126.75,0.89
211,new norfolk,75,AU,1579479642,59,64.0,-42.78,147.06,10.29
212,bandarbeyla,27,SO,1579479642,76,76.19,9.49,50.81,18.34
213,carauari,95,BR,1579479642,94,76.01,-4.88,-66.9,2.39
214,mehamn,90,NO,1579479642,94,32.0,71.04,27.85,23.04
215,laguna,20,US,1579479642,81,53.01,38.42,-121.42,3.36
216,mount gambier,100,AU,1579479642,82,60.8,-37.83,140.77,20.8
217,galesong,20,ID,1579479642,88,82.4,-5.32,119.37,4.7
218,maragogi,73,BR,1579479506,75,81.01,-9.01,-35.22,11.45
219,rio grande,32,BR,1579479643,85,73.58,-32.03,-52.1,18.77
220,jacmel,0,HT,1579479643,61,82.4,18.23,-72.53,16.11
221,arlit,0,NE,1579479643,22,61.12,18.74,7.39,7.54
222,sawtell,75,AU,1579479643,69,84.0,-30.38,153.1,11.41
223,saint-augustin,100,CA,1579479643,85,9.07,51.23,-58.65,10.04
224,yenagoa,7,NG,1579479643,79,76.42,4.92,6.26,2.68
225,amapa,67,BR,1579479643,98,73.29,1.0,-52.0,3.4
226,belmonte,3,BR,1579479643,83,78.8,-15.86,-38.88,3.36
227,itoman,75,JP,1579479643,67,62.6,26.12,127.67,4.7
228,tual,37,ID,1579479643,81,82.74,-5.67,132.75,16.78
229,ugoofaaru,75,MV,1579479643,77,82.54,5.67,73.0,16.06
230,pisco,75,PE,1579479453,30,71.6,-13.7,-76.22,14.99
231,brae,100,GB,1579479643,93,48.2,60.4,-1.35,35.57
232,shingu,40,JP,1579479644,57,48.2,33.73,135.98,11.41
233,tuatapere,82,NZ,1579479644,94,59.0,-46.13,167.68,5.99
234,camacha,40,PT,1579479644,72,60.8,33.08,-16.33,10.29
235,ballina,75,AU,1579479643,70,89.6,-28.87,153.57,8.05
236,korla,1,CN,1579479644,90,16.0,41.76,86.15,1.01
237,vanimo,75,PG,1579479644,80,82.27,-2.67,141.3,16.84
238,saint anthony,90,US,1579479432,78,12.2,45.02,-93.22,6.93
239,ukiah,1,US,1579479644,62,55.0,39.15,-123.21,4.0
240,port macquarie,100,AU,1579479367,88,86.0,-31.43,152.92,1.12
241,zhytomyr,0,UA,1579479644,87,26.02,50.26,28.68,5.26
242,namatanai,87,PG,1579479644,91,77.97,-3.67,152.43,10.02
243,ostrovnoy,0,RU,1579479645,84,5.41,68.05,39.51,13.62
244,hami,1,CN,1579479645,53,15.55,42.8,93.45,5.3
245,charters towers,3,AU,1579479645,44,93.22,-20.1,146.27,10.49
246,maniitsoq,100,GL,1579479645,86,13.01,65.42,-52.9,13.98
247,stornoway,100,GB,1579479645,87,50.0,58.21,-6.39,17.22
248,acapulco,20,MX,1579479645,74,84.2,16.86,-99.89,8.05
249,dingle,79,PH,1579479645,91,75.02,11.0,122.67,10.31
250,baykit,100,RU,1579479645,98,-2.99,61.67,96.37,2.95
251,sao filipe,0,CV,1579479645,75,70.39,14.9,-24.5,8.88
252,pozo colorado,48,PY,1579479645,54,87.62,-23.49,-58.8,4.16
253,lerwick,100,GB,1579479645,93,48.2,60.15,-1.15,34.45
254,boddam,97,GB,1579479646,92,46.0,57.47,-1.78,2.24
255,deputatskiy,0,RU,1579479646,82,-24.12,69.3,139.9,4.0
256,oriximina,98,BR,1579479646,75,81.7,-1.77,-55.87,3.18
257,hualmay,48,PE,1579479646,77,71.42,-11.1,-77.61,6.33
258,novoshcherbinovskaya,0,RU,1579479646,75,30.04,46.48,38.65,7.99
259,borovoy,90,RU,1579479646,84,-0.4,55.43,86.08,8.95
260,roald,75,NO,1579479646,81,46.99,62.58,6.13,23.04
261,qaqortoq,86,GL,1579479646,36,12.2,60.72,-46.03,5.82
262,iracoubo,50,GF,1579479646,81,79.14,5.48,-53.2,19.3
263,yamethin,83,MM,1579479646,47,60.69,20.43,96.15,4.29
264,provideniya,90,RU,1579479646,92,19.4,64.38,-173.3,13.42
265,sinop,17,TR,1579479646,70,40.19,41.77,34.87,8.5
266,suba,53,PH,1579479646,79,80.51,10.84,121.01,30.11
267,minab,40,IR,1579479646,87,55.4,27.15,57.08,4.7
268,yulara,8,AU,1579479647,23,84.2,-25.24,130.99,18.34
269,mamontovo,82,RU,1579479647,100,-7.92,52.71,81.62,7.02
270,norman wells,20,CA,1579479647,76,-11.2,65.28,-126.83,2.86
271,afsin,100,TR,1579479647,97,19.72,38.25,36.91,3.56
272,souillac,75,MU,1579479647,88,80.6,-20.52,57.52,2.24
273,lakselv,100,NO,1579479647,78,26.6,70.05,24.97,26.4
274,petropavlovsk-kamchatskiy,0,RU,1579479647,70,1.4,53.05,158.65,6.71
275,rivera,5,UY,1579479647,50,77.65,-30.91,-55.55,6.46
276,naze,75,JP,1579479647,63,60.8,28.37,129.48,5.82
277,faanui,100,PF,1579479590,78,81.48,-16.48,-151.75,11.43
278,vanavara,100,RU,1579479647,94,2.26,60.34,102.28,10.45
279,broken hill,75,AU,1579479647,52,69.8,-31.95,141.43,19.46
280,kyzyl-suu,100,KG,1579479647,59,21.54,42.34,78.0,5.59
281,bobcaygeon,1,CA,1579479648,78,12.99,44.55,-78.54,9.17
282,caravelas,20,BR,1579479648,82,79.9,-17.71,-39.25,8.32
283,emerald,40,AU,1579479648,58,87.01,-23.53,148.17,13.87
284,new waterford,90,US,1579479648,78,17.01,40.85,-80.61,10.29
285,mancora,50,PE,1579479648,100,62.6,-4.11,-81.05,13.87
286,pringsewu,62,ID,1579479648,94,74.05,-5.36,104.97,1.97
287,chokurdakh,100,RU,1579479648,97,-25.24,70.63,147.92,3.18
288,plastun,27,RU,1579479648,70,12.33,44.76,136.29,6.67
289,nanortalik,100,GL,1579479648,70,24.84,60.14,-45.24,32.19
290,sobolevo,42,RU,1579479648,91,30.74,54.43,31.9,8.72
291,porto santo,40,PT,1579479648,72,60.8,33.07,-16.34,10.29
292,lompoc,90,US,1579479614,71,63.0,34.64,-120.46,6.93
293,christchurch,64,NZ,1579479420,72,71.01,-43.53,172.63,6.93
294,kashi,20,CN,1579479649,67,19.4,39.45,75.98,8.95
295,tecoanapa,55,MX,1579479649,62,84.11,16.52,-98.75,4.56
296,kampot,40,KH,1579479649,78,78.8,10.62,104.18,3.36
297,sao miguel do araguaia,24,BR,1579479649,68,79.57,-13.28,-50.16,1.66
298,kurilsk,100,RU,1579479649,76,25.29,45.23,147.88,8.19
299,uray,0,RU,1579479649,87,-6.09,60.12,64.78,2.06
300,yar-sale,88,RU,1579479649,97,0.73,66.83,70.83,7.36
301,pangnirtung,99,CA,1579479649,91,-16.8,66.15,-65.71,2.44
302,xinqing,100,CN,1579479649,98,-2.4,48.23,129.5,1.03
303,kilindoni,100,TZ,1579479649,80,82.76,-7.91,39.67,17.34
304,necochea,0,AR,1579479649,68,75.99,-38.55,-58.74,5.01
305,gladstone,12,AU,1579479649,55,89.6,-23.85,151.25,12.75
306,araouane,0,ML,1579479649,17,62.89,18.9,-3.53,5.95
307,ixtapa,40,MX,1579479649,83,79.0,20.7,-105.2,9.17
308,lexington,90,US,1579479600,57,23.0,37.99,-84.48,12.75
309,ranong,1,TH,1579479650,65,82.4,9.97,98.63,5.82
310,kjollefjord,90,NO,1579479650,97,32.0,70.95,27.35,23.04
311,coihueco,83,CL,1579479650,44,78.8,-36.62,-71.83,10.29
312,izhmorskiy,100,RU,1579479650,96,-3.77,56.19,86.64,6.98
313,pirai do sul,29,BR,1579479650,99,69.01,-24.53,-49.95,3.0
314,paamiut,100,GL,1579479650,90,14.5,61.99,-49.67,12.5
315,creel,0,MX,1579479650,45,58.68,27.75,-107.63,3.96
316,ippy,100,CF,1579479650,25,72.72,6.27,21.22,7.11
317,arraial do cabo,75,BR,1579479650,69,77.0,-22.97,-42.03,8.05
318,mehriz,20,IR,1579479650,84,35.6,31.59,54.43,6.93
319,puerto maldonado,20,PE,1579479650,100,33.8,-12.6,-69.18,5.82
320,mirabad,100,AF,1579479651,59,47.77,30.44,61.84,2.28
321,westport,1,US,1579479651,51,37.4,41.14,-73.36,9.17
322,vostok,100,RU,1579479651,95,5.11,46.49,135.88,2.35
323,comodoro rivadavia,20,AR,1579479651,45,82.4,-45.87,-67.5,11.36
324,huilong,0,CN,1579479651,87,43.0,31.81,121.66,3.6
325,oparino,100,RU,1579479651,97,32.27,59.85,48.28,9.04
326,panzhihua,0,CN,1579479651,72,36.77,26.59,101.71,1.25
327,harper,42,LR,1579479404,91,77.05,4.38,-7.72,2.37
328,vysokogornyy,91,RU,1579479651,99,-4.61,50.12,139.15,1.25
329,hasaki,20,JP,1579479651,80,42.01,35.73,140.83,3.36
330,bengkulu,89,ID,1579479651,90,73.94,-3.8,102.27,3.47
331,bereznik,98,RU,1579479651,96,20.82,62.86,42.71,4.23
332,ogaminana,23,NG,1579479651,28,74.66,7.59,6.22,2.24
333,oltina,90,RO,1579479651,84,35.01,44.17,27.67,6.93
334,shigony,93,RU,1579479652,93,24.51,53.39,48.68,7.31
335,miles city,1,US,1579479652,66,15.01,46.41,-105.84,6.93
336,viedma,0,AR,1579479503,48,67.14,-40.81,-63.0,14.47
337,omboue,5,GA,1579479652,88,76.14,-1.57,9.26,0.51
338,marovoay,20,MG,1579479652,94,78.8,-16.1,46.63,9.17
339,oranjemund,0,NA,1579479492,84,62.83,-28.55,16.43,7.43
340,hobyo,51,SO,1579479652,80,74.73,5.35,48.53,13.69
341,havoysund,75,NO,1579479652,94,33.8,71.0,24.66,25.28
342,nemuro,75,JP,1579479652,79,24.8,43.32,145.57,5.82
343,rock sound,17,BS,1579479652,66,73.89,24.9,-76.2,7.02
344,nador,75,MA,1579479652,71,53.6,35.17,-2.93,11.41
345,isangel,87,VU,1579479651,81,76.03,-19.55,169.27,16.02
346,alliance,90,US,1579479653,72,17.01,40.92,-81.11,4.7
347,mullingar,41,IE,1579479653,86,39.2,53.53,-7.35,13.87
348,kamaishi,75,JP,1579479653,100,33.8,39.27,141.88,1.12
349,port augusta,75,AU,1579479653,68,68.0,-32.5,137.77,21.92
350,kedrovyy,75,RU,1579479653,77,5.0,56.17,91.82,11.18
351,lorengau,18,PG,1579479653,74,84.22,-2.02,147.27,18.79
352,livingston,90,GB,1579479409,80,43.0,55.9,-3.52,14.99
353,fort-shevchenko,97,KZ,1579479653,87,27.54,44.51,50.26,8.23
354,castro,42,BR,1579479653,96,64.92,-24.79,-50.01,8.1
355,ramat yishay,4,IL,1579479653,77,54.34,32.7,35.18,11.99
356,verkhnetulomskiy,75,RU,1579479653,84,-0.4,68.61,31.8,2.24
357,karlstad,94,SE,1579479654,100,30.0,59.38,13.5,4.7
358,puerto quijarro,32,BO,1579479654,65,82.63,-17.78,-57.77,3.38
359,kapoeta,5,SS,1579479654,24,79.88,4.77,33.59,6.35
360,nenagh,58,IE,1579479654,93,39.99,52.86,-8.2,5.82
361,ndola,98,ZM,1579479654,98,63.41,-12.96,28.64,6.02
362,kununurra,75,AU,1579479654,83,82.4,-15.77,128.73,2.24
363,nabire,83,ID,1579479530,93,77.56,-3.37,135.48,1.63
364,kamenka,100,RU,1579479654,91,28.0,51.32,42.77,3.0
365,rieti,97,IT,1579479654,61,48.0,42.41,12.86,1.99
366,tukrah,51,LY,1579479654,71,53.02,32.53,20.58,4.14
367,eckernforde,40,DE,1579479654,93,39.99,54.47,9.83,2.24
368,talaya,100,RU,1579479654,100,-29.76,61.38,152.75,0.11
369,clyde river,1,CA,1579479655,66,-29.2,70.47,-68.59,5.82
370,olga,47,RU,1579479655,64,24.13,43.74,135.29,14.14
371,pudozh,99,RU,1579479655,98,32.76,61.81,36.53,5.53
372,katsuura,0,JP,1579479655,61,50.0,35.13,140.3,2.24
373,deniliquin,39,AU,1579479655,55,75.78,-35.53,144.97,4.7
374,norsup,54,VU,1579479655,75,81.75,-16.07,167.38,12.82
375,ilulissat,67,GL,1579479655,71,5.0,69.22,-51.1,11.41
376,feodosiya,7,UA,1579479655,77,36.52,45.03,35.38,17.69
377,geraldton,40,AU,1579479655,69,75.2,-28.77,114.6,24.16
378,pryazha,98,RU,1579479655,89,32.0,61.69,33.62,11.18
379,hamilton,90,US,1579479655,66,17.01,39.18,-84.53,12.75
380,vuktyl,66,RU,1579479655,99,-8.72,63.86,57.31,2.64
381,talara,3,PE,1579479656,100,62.6,-4.58,-81.27,13.87
382,abonnema,15,NG,1579479656,78,73.4,4.71,6.79,4.63
383,hambantota,48,LK,1579479656,78,80.13,6.12,81.12,21.32
384,mari-turek,100,RU,1579479656,95,31.3,56.79,49.62,12.82
385,beyneu,80,KZ,1579479656,90,26.87,45.32,55.2,5.55
386,cartagena,11,CO,1579479431,70,84.2,10.4,-75.51,12.75
